time,nose_x,nose_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y
3.14,361.4310607910156,123.00306701660156,402.3055725097656,155.1460723876953,353.8437805175781,157.7226104736328,407.0821533203125,209.53506469726562,350.7026672363281,211.3607940673828,356.5498046875,227.8671875,341.2826232910156,230.42245483398438,403.8941650390625,262.4310607910156,370.43096923828125,261.85870361328125
3.34,357.0189514160156,128.74249267578125,393.607666015625,154.7744140625,370.990478515625,162.32118225097656,392.5552978515625,210.3431854248047,380.1107482910156,219.36831665039062,344.0937194824219,228.35992431640625,345.251708984375,232.93197631835938,401.30682373046875,265.739013671875,384.7343444824219,266.5920104980469
3.53,351.93670654296875,137.99806213378906,388.0591125488281,163.10093688964844,353.3863830566406,169.79525756835938,386.88909912109375,213.0680694580078,359.78173828125,221.45596313476562,341.46630859375,224.38223266601562,337.32965087890625,232.84042358398438,405.3749694824219,262.143310546875,382.0024719238281,263.5357360839844
3.73,352.574462890625,140.39569091796875,386.3217468261719,164.94915771484375,354.0641784667969,171.42672729492188,388.79803466796875,214.82286071777344,361.1336975097656,222.35057067871094,344.59124755859375,225.49697875976562,337.35198974609375,230.54949951171875,401.57861328125,263.1182861328125,380.12762451171875,264.32843017578125
3.93,358.33331298828125,138.12124633789062,388.26458740234375,169.39559936523438,352.9321594238281,174.51797485351562,386.5650634765625,219.41677856445312,354.8140869140625,224.63674926757812,344.4490051269531,236.86993408203125,341.1304016113281,239.5090789794922,401.060302734375,270.5088806152344,378.03424072265625,272.39044189453125
4.17,360.1031494140625,141.44223022460938,385.7864074707031,175.15586853027344,354.3144226074219,177.45440673828125,387.3741149902344,226.873779296875,360.93475341796875,230.85452270507812,346.5485534667969,249.1826629638672,344.1085205078125,253.42088317871094,397.75311279296875,270.20635986328125,376.9842224121094,269.6389465332031
4.41,361.3590393066406,136.55577087402344,390.5198059082031,171.03570556640625,359.66192626953125,177.40316772460938,388.71063232421875,224.85052490234375,368.4977111816406,234.07913208007812,342.39581298828125,246.63742065429688,345.1016845703125,253.97854614257812,405.5878601074219,271.5181579589844,384.8445129394531,272.74920654296875
4.6,364.5437927246094,133.43447875976562,388.314697265625,170.2710418701172,355.9576110839844,172.55807495117188,389.54278564453125,223.43833923339844,362.9517517089844,225.5048828125,343.0340576171875,247.0928955078125,346.13922119140625,249.05555725097656,399.29583740234375,271.41693115234375,378.2566833496094,271.68426513671875
4.81,363.9959411621094,131.84225463867188,386.530029296875,171.03199768066406,355.64990234375,172.81640625,389.1849365234375,224.862548828125,361.23870849609375,226.98471069335938,342.2855529785156,246.49586486816406,345.0406494140625,247.89443969726562,393.197265625,274.1148986816406,373.1869201660156,273.8666687011719
4.99,363.9839172363281,131.65142822265625,386.79425048828125,170.21726989746094,351.866455078125,171.33970642089844,387.986572265625,224.08880615234375,356.7088317871094,224.49537658691406,343.2821960449219,246.14260864257812,342.33404541015625,246.1935577392578,396.47882080078125,272.4289245605469,373.6949768066406,272.5126953125
5.19,362.8802490234375,132.05516052246094,386.95806884765625,169.98805236816406,353.72210693359375,171.4079132080078,388.6043395996094,225.0283966064453,360.8016052246094,225.22256469726562,341.5935363769531,246.7049102783203,343.0668640136719,246.9383544921875,397.8124694824219,270.82373046875,376.1121826171875,270.7750244140625
5.38,362.9834899902344,131.58148193359375,383.9831848144531,169.44534301757812,354.8072509765625,170.66749572753906,386.8289794921875,223.52716064453125,362.4814453125,224.78868103027344,341.87744140625,246.02407836914062,343.6260070800781,248.3173370361328,394.5936279296875,272.3358154296875,375.6570739746094,272.1969299316406
5.57,362.9090270996094,130.58071899414062,384.8275146484375,169.98069763183594,350.5909118652344,171.87728881835938,387.93804931640625,224.10528564453125,359.44818115234375,227.73492431640625,341.5870361328125,246.03533935546875,342.5747985839844,250.6965789794922,395.73773193359375,273.5055236816406,373.27008056640625,273.7275695800781
5.79,360.8974609375,129.07373046875,383.4266662597656,168.7194061279297,349.44903564453125,171.18275451660156,387.20904541015625,224.14361572265625,355.3558044433594,227.49072265625,342.28070068359375,244.23593139648438,341.07403564453125,246.0303192138672,393.91033935546875,273.9328918457031,372.2396240234375,274.6549072265625
6.08,359.04241943359375,126.55673217773438,385.2281494140625,165.51181030273438,340.0144348144531,163.85958862304688,389.477783203125,223.82174682617188,347.38665771484375,218.7489013671875,342.9998474121094,239.4966583251953,335.34320068359375,238.55979919433594,388.36431884765625,268.11474609375,357.4503173828125,266.6295166015625
6.48,344.71673583984375,132.19869995117188,366.06243896484375,170.746826171875,329.32989501953125,170.21250915527344,371.3828430175781,229.721435546875,337.54302978515625,226.58920288085938,321.0748596191406,241.28073120117188,318.7325744628906,241.5845947265625,372.461669921875,273.4944763183594,345.86981201171875,271.9931640625
6.93,317.64678955078125,153.72189331054688,346.6962585449219,188.3165283203125,297.3556823730469,185.43716430664062,334.3966979980469,240.95498657226562,282.8875427246094,229.2767333984375,281.467529296875,231.900634765625,257.8426818847656,219.02828979492188,360.7639465332031,276.320068359375,328.6793518066406,274.2844543457031
7.36,294.1854248046875,167.20501708984375,326.4661560058594,180.86508178710938,278.9356994628906,188.68992614746094,299.5677490234375,217.0836944580078,272.1815490722656,229.88377380371094,250.93939208984375,207.9957275390625,253.54580688476562,220.047607421875,354.599609375,271.6195983886719,323.388916015625,275.4172058105469
7.84,289.668701171875,168.5380401611328,327.2715759277344,182.3717041015625,263.6114501953125,194.20718383789062,332.5155029296875,227.44699096679688,275.5912170410156,245.05715942382812,302.5243225097656,233.82423400878906,310.39349365234375,211.81442260742188,349.2398986816406,277.1534423828125,306.912353515625,284.0765075683594
8.26,290.85137939453125,164.3684539794922,319.0231018066406,183.28384399414062,272.0801086425781,194.19418334960938,313.50653076171875,213.70021057128906,267.92559814453125,234.58480834960938,293.46722412109375,207.13528442382812,300.302001953125,207.280517578125,351.45361328125,287.6944274902344,321.8537292480469,294.7456359863281
