time,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y
7.44,468.2718505859375,447.72381591796875,202.57684326171875,446.42010498046875,473.1884460449219,456.320068359375,247.67391967773438,453.50762939453125
8.22,415.0008544921875,425.7087707519531,254.58428955078125,418.094482421875,399.0318908691406,277.44677734375,297.7454833984375,277.322509765625
8.87,412.0758056640625,434.1767272949219,259.1094665527344,417.82122802734375,393.0538024902344,290.5802307128906,300.0960388183594,289.99407958984375
9.41,436.18121337890625,424.95806884765625,272.483154296875,402.5191650390625,426.3933410644531,292.84222412109375,328.8843078613281,281.4870300292969
9.84,466.50299072265625,452.3519592285156,288.97857666015625,406.1265869140625,449.17559814453125,292.1291198730469,350.0937194824219,280.7308044433594
10.52,434.3275146484375,428.6520690917969,230.6479034423828,396.29962158203125,402.9879150390625,288.2103271484375,304.8063049316406,276.32879638671875
10.96,529.4188232421875,272.53851318359375,218.0304718017578,264.2594909667969,400.5089111328125,285.5875549316406,298.571533203125,278.84417724609375
11.66,534.6002807617188,223.24139404296875,238.34774780273438,246.895263671875,420.0252380371094,281.1560974121094,309.1694641113281,285.0289611816406
12.09,509.67462158203125,216.0673065185547,239.03724670410156,200.33583068847656,413.166748046875,286.2383117675781,307.3421630859375,271.6073913574219
12.78,517.564697265625,206.20632934570312,247.02127075195312,209.11038208007812,413.1273193359375,277.7961120605469,313.7276306152344,272.0231018066406
13.2,557.183837890625,192.4747314453125,261.6013488769531,213.739013671875,449.95855712890625,267.2898864746094,342.9131164550781,271.6062927246094
13.86,559.6827392578125,194.244384765625,241.26617431640625,242.70840454101562,456.3767395019531,238.85191345214844,325.1072692871094,240.8258056640625
14.28,501.74560546875,274.8999938964844,194.2303009033203,476.6847229003906,441.8285827636719,221.8350067138672,266.9272155761719,224.77027893066406
14.96,549.0040283203125,173.0801544189453,195.27264404296875,454.77398681640625,448.7460021972656,131.46627807617188,270.8720397949219,148.89663696289062
15.41,535.21923828125,176.7593231201172,208.9003448486328,417.59027099609375,442.66204833984375,143.24307250976562,257.0087890625,181.41212463378906
16.1,499.773193359375,275.58404541015625,255.68328857421875,317.9256896972656,437.56341552734375,165.95248413085938,313.59423828125,169.874755859375
16.55,385.4344177246094,319.3134460449219,264.1513977050781,292.3402099609375,384.8466796875,205.3309326171875,296.70526123046875,194.40542602539062
17.26,371.8758544921875,321.61993408203125,256.3916931152344,299.9059753417969,369.491455078125,211.9989013671875,287.8300476074219,203.70626831054688
17.71,427.38507080078125,315.4301452636719,285.4881896972656,265.8420104980469,400.6325988769531,226.70635986328125,329.7334899902344,215.96571350097656
18.31,412.2632751464844,337.99554443359375,282.4161376953125,289.62115478515625,396.8631286621094,226.64950561523438,323.3918151855469,216.12008666992188
18.72,413.1158142089844,330.33819580078125,280.75238037109375,306.2378845214844,396.87158203125,225.78733825683594,325.653076171875,216.64483642578125
19.51,427.6732177734375,337.22607421875,307.0873107910156,303.41796875,411.612060546875,228.9763641357422,340.4575500488281,220.9052734375
19.96,393.2898254394531,325.802734375,269.99810791015625,317.974609375,370.7667236328125,247.05255126953125,308.82666015625,243.07911682128906
20.44,396.5057373046875,338.67529296875,302.4004821777344,325.9535827636719,386.45159912109375,260.08258056640625,331.45196533203125,254.08029174804688
20.95,404.35107421875,287.3168640136719,308.0051574707031,313.236572265625,395.8985595703125,267.1185302734375,341.0596923828125,253.5523681640625
21.45,381.9874572753906,289.4784851074219,278.22021484375,305.9081115722656,373.258056640625,257.0558776855469,311.81964111328125,249.26536560058594
21.9,402.7935485839844,248.02593994140625,253.4344482421875,246.57171630859375,362.66534423828125,238.63807678222656,294.8358154296875,234.45855712890625
22.4,471.40167236328125,207.8530731201172,238.69949340820312,202.9542236328125,403.6495361328125,220.1829376220703,326.9378662109375,224.1482391357422
22.85,538.9456787109375,192.937744140625,241.35128784179688,186.51956176757812,423.60205078125,216.33114624023438,341.2730712890625,214.89889526367188
23.33,548.1964111328125,194.74246215820312,241.7040557861328,187.40020751953125,422.4913635253906,216.39157104492188,340.3407287597656,214.0223388671875
23.81,553.143310546875,188.41229248046875,242.59695434570312,188.8834228515625,425.39764404296875,215.12265014648438,340.15948486328125,213.98008728027344
24.27,571.9172973632812,199.66476440429688,234.39321899414062,196.96240234375,429.84368896484375,214.71066284179688,343.8127746582031,214.5081024169922
24.69,541.384521484375,263.4919128417969,270.89727783203125,247.07705688476562,423.5024719238281,212.95339965820312,353.7481384277344,216.76907348632812
25.1,363.33551025390625,279.9665832519531,323.6982116699219,274.7254638671875,404.3328857421875,216.3743438720703,358.95782470703125,226.68115234375
25.56,334.6616516113281,302.96533203125,332.08697509765625,294.837646484375,382.6294860839844,224.003173828125,360.2620849609375,228.46817016601562
26.01,334.39501953125,326.6147155761719,332.44970703125,320.3212890625,375.9198913574219,226.12725830078125,361.08941650390625,227.3275909423828
26.45,334.9137268066406,328.8988037109375,333.75347900390625,323.58087158203125,375.2729187011719,227.2227783203125,355.7105407714844,227.77557373046875
26.91,336.6898498535156,326.0950012207031,333.2928466796875,319.9477233886719,377.5710754394531,224.13119506835938,355.6583251953125,225.7568359375
27.37,343.7610778808594,323.4878234863281,337.2359313964844,316.24908447265625,377.53277587890625,222.50830078125,356.0016174316406,222.57974243164062
27.83,341.42156982421875,324.2727355957031,335.2814025878906,316.39727783203125,376.16448974609375,223.3437042236328,353.3124084472656,223.69134521484375
28.3,309.16619873046875,283.186767578125,308.346435546875,278.0415954589844,366.9568176269531,226.42709350585938,326.2437438964844,217.60751342773438
28.79,284.7835998535156,292.12408447265625,277.06671142578125,275.68890380859375,342.6901550292969,240.288330078125,283.6916198730469,229.3000946044922
29.23,273.2080383300781,291.1241455078125,266.1311950683594,277.1171875,338.44110107421875,238.32904052734375,277.1749572753906,226.80059814453125
29.71,273.74517822265625,245.91067504882812,255.54739379882812,243.84202575683594,341.40521240234375,233.37237548828125,271.5944519042969,222.3692169189453
30.14,286.2478332519531,293.2712707519531,260.31085205078125,320.97216796875,334.096435546875,221.67398071289062,269.05023193359375,228.18150329589844
30.63,280.95697021484375,322.11041259765625,279.1839294433594,333.2635498046875,326.93218994140625,224.840576171875,274.2949523925781,229.19036865234375
31.12,284.0340881347656,311.30657958984375,275.5254821777344,327.1503601074219,328.8558654785156,220.6247100830078,271.88250732421875,226.95140075683594
